program_key,university,code,title,level,faculty,handbook_year,cricos_code,credit_points,duration_full_time,campus,intakes,ielts_overall,ielts_min_band,toefl_ibt,pte_overall,min_wam_percent,min_grade_band,requires_cognate_degree,source_url,source_updated_at,fetched_at
monash:A0001,Monash University,A0001,N/A - non-award enabling program,other,Faculty of Arts,2026,,36,1 Years,Clayton,,,,,,,,,https://handbook.monash.edu/2026/courses/A0001,2025-08-14T06:31:54,2026-09-02T00:14:40Z
monash:A0501,Monash University,A0501,Diploma of Languages,other,Faculty of Arts,2026,,48,1 Years,"Caulfield, Clayton",,,,,,,,,https://handbook.monash.edu/2026/courses/A0501,2025-04-30T23:42:52,2026-09-02T00:14:41Z
monash:A0502,Monash University,A0502,Diploma of Liberal Arts,other,Faculty of Arts,2026,,48,1 Years,"Caulfield, Clayton",,,,,,,,,https://handbook.monash.edu/2026/courses/A0502,2025-04-30T23:43:09,2026-09-02T00:14:42Z
monash:A0503,Monash University,A0503,Diploma of Higher Education Studies,other,Faculty of Arts,2026,,48,1 Years,Malaysia,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A0503,2026-01-22T00:04:03,2026-09-02T00:14:43Z
monash:A2000,Monash University,A2000,Bachelor of Arts,bachelor,Faculty of Arts,2026,075404D,144,3 Years,"Caulfield, Clayton",,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2000,2026-05-01T03:50:35,2026-09-02T00:14:44Z
monash:A2001,Monash University,A2001,Bachelor of Global Studies,bachelor,Faculty of Arts,2026,083203B,144,3 Years,Clayton,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2001,2026-01-19T05:45:52,2026-09-02T00:14:46Z
monash:A2002,Monash University,A2002,Bachelor of Media Communication,bachelor,Faculty of Arts,2026,093854F,144,3 Years,Caulfield,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2002,2026-04-19T23:46:32,2026-09-02T00:14:47Z
monash:A2003,Monash University,A2003,Bachelor of Music,bachelor,Faculty of Arts,2026,017113G,144,3 Years,Clayton,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2003,2025-09-29T06:26:02,2026-09-02T00:14:48Z
monash:A2004,Monash University,A2004,Bachelor of Music Bachelor of Arts,bachelor,Faculty of Arts,2026,041539C,192,4 Years,Clayton,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2004,2025-08-30T00:16:07,2026-09-02T00:14:49Z
monash:A2005,Monash University,A2005,Bachelor of Arts Bachelor of Fine Art Bachelor of Art History and Curating,bachelor,Faculty of Arts,2026,075402F,192,4 Years,Caulfield,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2005,2025-09-09T07:32:25,2026-09-02T00:14:51Z
monash:A2006,Monash University,A2006,Bachelor of Arts and Social Sciences,bachelor,Faculty of Arts,2026,,144,3 Years,Malaysia,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2006,2025-12-11T21:24:07,2026-09-02T00:14:52Z
monash:A2008,Monash University,A2008,Bachelor of Criminology,bachelor,Faculty of Arts,2026,096756F,144,3 Years,"Clayton, Caulfield",,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2008,2025-10-06T00:16:16,2026-09-02T00:14:53Z
monash:A2009,Monash University,A2009,Bachelor of Criminology Bachelor of Information Technology,bachelor,Faculty of Arts,2026,097659K,192,4 Years,Clayton,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2009,2025-11-12T03:46:36,2026-09-02T00:14:54Z
monash:A2010,Monash University,A2010,"Bachelor of Politics, Philosophy and Economics",bachelor,Faculty of Arts,2026,0100405,144,3 Years,Clayton,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2010,2026-02-23T04:08:23,2026-09-02T00:14:55Z
monash:A2011,Monash University,A2011,Bachelor of Digital Media and Communication,bachelor,Faculty of Arts,2026,,144,3 Years,Malaysia,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2011,2025-09-28T03:31:41,2026-09-02T00:14:57Z
monash:A2012,Monash University,A2012,Bachelor of Criminology Bachelor of Arts,bachelor,Faculty of Arts,2026,0101331,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2012,2025-09-01T06:06:09,2026-09-02T00:14:58Z
monash:A2013,Monash University,A2013,"Bachelor of Arts Bachelor of Politics, Philosophy and Economics",bachelor,Faculty of Arts,2026,102352E,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2013,2026-02-23T04:08:54,2026-09-02T00:14:59Z
monash:A2014,Monash University,A2014,Bachelor of Criminology and Policing,bachelor,Faculty of Arts,2026,,144,3 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2014,2026-02-18T04:31:37,2026-09-02T00:15:00Z
monash:A2015,Monash University,A2015,Bachelor of Global Studies Bachelor of Information Technology,bachelor,Faculty of Arts,2026,103004F,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2015,2026-02-23T04:05:03,2026-09-02T00:15:01Z
monash:A2017,Monash University,A2017,Bachelor of Health Sciences Bachelor of Arts,bachelor,Faculty of Arts,2026,111153D,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2017,2025-08-29T01:12:02,2026-09-02T00:15:03Z
monash:A2018,Monash University,A2018,Bachelor of Global Studies Bachelor of Arts,bachelor,Faculty of Arts,2026,113071A,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2018,2025-11-12T03:43:52,2026-09-02T00:15:04Z
monash:A2019,Monash University,A2019,Bachelor of Media Communication Bachelor of Arts,bachelor,Faculty of Arts,2026,113072M,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2019,2025-08-29T01:11:18,2026-09-02T00:15:05Z
monash:A2020,Monash University,A2020,Bachelor of International Relations,bachelor,Faculty of Arts,2026,114243M,144,3 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2020,2025-12-11T21:36:47,2026-09-02T00:15:06Z
monash:A2021,Monash University,A2021,Bachelor of Media Communication Bachelor of Music,bachelor,Faculty of Arts,2026,117270F,192,4 Years,,,6.5,6.0,79,58,,,,https://handbook.monash.edu/2026/courses/A2021,2025-09-29T06:31:34,2026-09-02T00:15:07Z
monash:A3701,Monash University,A3701,Bachelor of Arts (Honours),bachelor,Faculty of Arts,2026,084608F,48,1 Years,"Caulfield, Clayton, Malaysia",,6.5,6.0,79,58,75.0,,,https://handbook.monash.edu/2026/courses/A3701,2025-10-10T03:07:44,2026-09-02T00:15:09Z
monash:A3702,Monash University,A3702,Bachelor of Music (Honours),bachelor,Faculty of Arts,2026,084610A,48,1 Years,Clayton,,6.5,6.0,79,58,75.0,,,https://handbook.monash.edu/2026/courses/A3702,2025-12-11T21:56:27,2026-09-02T00:15:10Z
monash:A4003,Monash University,A4003,Graduate Certificate of Bioethics,graduate_certificate,Faculty of Arts,2026,,24,0.5 Years,,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4003,2025-05-01T01:56:26,2026-09-02T00:15:11Z
monash:A4006,Monash University,A4006,Graduate Certificate of International Relations,graduate_certificate,Faculty of Arts,2026,097657A,24,0.5 Years,Clayton,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4006,2025-05-01T03:41:54,2026-09-02T00:15:14Z
monash:A4007,Monash University,A4007,Graduate Certificate of Communications and Media Studies,graduate_certificate,Faculty of Arts,2026,097658M,24,0.5 Years,Caulfield,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4007,2025-07-28T02:11:51,2026-09-02T00:15:15Z
monash:A4009,Monash University,A4009,Graduate Certificate of International Sustainable Tourism Management,graduate_certificate,Faculty of Arts,2026,0100207,24,0.5 Years,Caulfield,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4009,2026-02-23T03:45:02,2026-09-02T00:15:17Z
monash:A4010,Monash University,A4010,Graduate Certificate of Strategic Communications Management,graduate_certificate,Faculty of Arts,2026,0100208,24,0.5 Years,Caulfield,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4010,2025-05-01T03:48:06,2026-09-02T00:15:18Z
monash:A4011,Monash University,A4011,Graduate Certificate of Public Policy,graduate_certificate,Faculty of Arts,2026,0100209,24,0.5 Years,Clayton,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4011,2025-05-01T03:46:52,2026-09-02T00:15:20Z
monash:A4012,Monash University,A4012,Graduate Certificate of International Development Practice,graduate_certificate,Faculty of Arts,2026,0100210,24,0.5 Years,Clayton,,6.5,6.0,79,58,50.0,,,https://handbook.monash.edu/2026/courses/A4012,2026-02-23T04:00:03,2026-09-02T00:15:21Z
